259,Cisco Systems Inc,Stock,Dividend (Of Cash),2020-10-21,0.0,198.0,USD
260,Apple Inc,Stock,Sell,2020-10-20,-40.0,4639.299999999998,USD
261,Norfolk Southern Co,Stock,Sell,2020-10-20,-15.0,3229.66,USD
262,Microsoft Corp,Stock,Sell,2020-10-20,-15.0,3233.56,USD
265,L3harris Technologies In,Stock,Sell,2020-10-16,-25.0,4368.28,USD
266,Cisco Systems Inc,Stock,Sell,2020-10-16,-50.0,2008.97,USD
270,Cerner Corp,Stock,Dividend (Of Cash),2020-10-13,0.0,45.0,USD
271,Amgen Inc.,Stock,Sell,2020-10-09,-25.0,5971.87,USD
272,Walt Disney Co,Stock,Sell,2020-10-09,-25.0,3098.43,USD
273,WalMart Inc,Stock,Sell,2020-10-09,-25.0,3573.8,USD
274,Eastman Chemical Co,Stock,Sell,2020-10-09,-125.0,10799.76,USD
275,Intel Corp,Stock,Sell,2020-10-09,-100.0,5322.38,USD
276,Facebook Inc Class                  A,Stock,Sell,2020-10-09,-15.0,3950.54,USD
277,Kroger Co,Stock,Sell,2020-10-09,-100.0,3468.42,USD
278,Adobe Inc,Stock,Sell,2020-10-09,-10.0,4996.14,USD
279,Nike Inc Class                  B,Stock,Sell,2020-10-09,-25.0,3261.93,USD
280,Alibaba Group Holding  F Sponsored ADR,Stock,Sell,2020-10-09,-50.0,15000.85,USD
281,Cummins Inc,Stock,Sell,2020-10-09,-25.0,5618.88,USD
282,J P Morgan Chase & Co,Stock,Sell,2020-10-09,-50.0,5097.4000000000015,USD
283,Apple Inc,Stock,Sell,2020-10-09,-100.0,11604.16,USD
284,iShares MSCI EAFE Growth ETF,ETF,Sell,2020-10-09,-150.0,13825.19,USD
285,United Parcel SRVC Class                  B,Stock,Sell,2020-10-09,-25.0,4349.15,USD
286,iShares MSCI Emerging Markets ETF,ETF,Sell,2020-10-09,-300.0,13777.2,USD
287,SPDR S&P 600 Small Cap Value ETF,ETF,Sell,2020-10-09,-200.0,10988.76,USD
288,Emerson Electric Co,Stock,Sell,2020-10-09,-50.0,3545.42,USD
289,Johnson & Johnson,Stock,Sell,2020-10-09,-50.0,7570.33,USD
290,Prudential Finl,Stock,Sell,2020-10-09,-90.0,6155.87,USD
291,Alphabet Inc. Class                  A,Stock,Sell,2020-10-09,-5.0,7507.559999999998,USD
292,Comcast Corp Class                  A,Stock,Sell,2020-10-09,-100.0,4519.4,USD
293,Procter & Gamble,Stock,Sell,2020-10-09,-50.0,7175.09,USD
294,L3harris Technologies In,Stock,Sell,2020-10-09,-35.0,6235.99,USD
295,Discover Finl S,Stock,Sell,2020-10-09,-100.0,6562.35,USD
296,iShares Core S&P Mid Cap ETF,ETF,Sell,2020-10-09,-100.0,19975.57,USD
297,Chevron Corp,Stock,Sell,2020-10-09,-75.0,5631.64,USD
298,Abbvie Inc,Stock,Sell,2020-10-09,-25.0,2214.2,USD
299,Home Depot Inc,Stock,Sell,2020-10-09,-25.0,7157.09,USD
300,Norfolk Southern Co,Stock,Sell,2020-10-09,-25.0,5437.38,USD
